"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
1577,#2000-01-11#,5,2,3042.99,250.54,22,33,26060,"^DJT"
1578,#2000-03-07#,5,1,2246.19,-796.8,38,56,26098,"^DJT"
1579,#2000-04-12#,5,2,3022.04,775.8501,26,36,26124,"^DJT"
1580,#2000-06-26#,5,1,2582.84,-439.2,51,75,26175,"^DJT"
1581,#2000-07-14#,5,2,2954.12,371.28,13,18,26188,"^DJT"
1582,#2000-07-28#,5,1,2725.25,-228.8701,10,14,26198,"^DJT"
1583,#2000-08-14#,5,2,2955.92,230.6699,11,17,26209,"^DJT"
1584,#2000-10-18#,5,1,2318.48,-637.4399,46,65,26255,"^DJT"
1585,#2000-11-06#,5,2,2837.92,519.4399,13,19,26268,"^DJT"
1586,#2000-11-13#,5,1,2676.26,-161.6599,5,7,26273,"^DJT"
1587,#2000-12-12#,5,2,2970.03,293.77,20,29,26293,"^DJT"
1588,#2000-12-20#,5,1,2643.08,-326.95,6,8,26299,"^DJT"
1589,#2001-01-04#,5,2,3210.82,567.74,9,15,26308,"^DJT"
1590,#2001-03-01#,5,1,2813.21,-397.6101,38,56,26346,"^DJT"
1591,#2001-03-08#,5,2,3049.95,236.74,5,7,26351,"^DJT"
1592,#2001-03-22#,5,1,2565.16,-484.79,10,14,26361,"^DJT"
1593,#2001-05-22#,5,2,3034.82,469.6602,42,61,26403,"^DJT"
1594,#2001-06-26#,5,1,2590.15,-444.6702,24,35,26427,"^DJT"
1595,#2001-07-17#,5,2,3027.28,437.1301,14,21,26441,"^DJT"
1596,#2001-07-25#,5,1,2813.31,-213.97,6,8,26447,"^DJT"
1597,#2001-08-02#,5,2,2965.76,152.45,6,8,26453,"^DJT"
1598,#2001-08-22#,5,1,2748.46,-217.3,14,20,26467,"^DJT"
1599,#2001-09-04#,5,2,2878.44,129.98,8,13,26475,"^DJT"
1600,#2001-09-21#,5,1,1916.22,-962.22,9,17,26484,"^DJT"
1601,#2001-10-11#,5,2,2348.82,432.6001,14,20,26498,"^DJT"
1602,#2001-10-22#,5,1,2153.11,-195.71,7,11,26505,"^DJT"
1603,#2001-12-07#,5,2,2666.08,512.97,33,46,26538,"^DJT"
1604,#2001-12-14#,5,1,2526.09,-139.99,5,7,26543,"^DJT"
1605,#2002-01-07#,5,2,2871.09,345,14,24,26557,"^DJT"
1606,#2002-01-17#,5,1,2608.35,-262.74,8,10,26565,"^DJT"
1607,#2002-01-28#,5,2,2833.17,224.8198,6,11,26571,"^DJT"
1608,#2002-02-07#,5,1,2580.26,-252.9099,8,10,26579,"^DJT"
1609,#2002-03-08#,5,2,3083.01,502.75,20,29,26599,"^DJT"
1610,#2002-03-21#,5,1,2780.98,-302.03,9,13,26608,"^DJT"
1611,#2002-03-28#,5,2,2945.95,164.97,5,7,26613,"^DJT"
1612,#2002-04-08#,5,1,2700.97,-244.98,6,11,26619,"^DJT"
1613,#2002-04-16#,5,2,2897.76,196.79,6,8,26625,"^DJT"
1614,#2002-04-25#,5,1,2644.42,-253.3401,7,9,26632,"^DJT"
1615,#2002-05-02#,5,2,2790.63,146.21,5,7,26637,"^DJT"
1616,#2002-07-24#,5,1,2068.81,-721.8198,57,83,26694,"^DJT"
1617,#2002-08-22#,5,2,2478.86,410.05,21,29,26715,"^DJT"
1618,#2002-10-09#,5,1,1990.5,-488.3601,33,48,26748,"^DJT"
1619,#2002-11-06#,5,2,2431.37,440.8701,20,28,26768,"^DJT"
1620,#2002-11-13#,5,1,2224.21,-207.1602,5,7,26773,"^DJT"
1621,#2002-12-02#,5,2,2424.09,199.8801,12,19,26785,"^DJT"
1622,#2003-01-29#,5,1,2114.16,-309.9302,39,58,26824,"^DJT"
1623,#2003-02-06#,5,2,2209.07,94.91016,6,8,26830,"^DJT"
1624,#2003-03-12#,5,1,1908.13,-300.9401,23,34,26853,"^DJT"
1625,#2003-03-21#,5,2,2273.84,365.7101,7,9,26860,"^DJT"
1626,#2003-03-31#,5,1,2098.48,-175.3601,6,10,26866,"^DJT"
1627,#2003-05-06#,5,2,2507.52,409.04,25,36,26891,"^DJT"
1628,#2003-05-21#,5,1,2332.04,-175.48,11,15,26902,"^DJT"
1629,#2003-06-04#,5,2,2569.46,237.4199,9,14,26911,"^DJT"
1630,#2003-06-25#,5,1,2352.87,-216.5898,15,21,26926,"^DJT"
1631,#2003-09-18#,5,2,2825.07,472.2,59,85,26985,"^DJT"
1632,#2003-09-29#,5,1,2660.66,-164.4102,7,11,26992,"^DJT"
1633,#2003-10-15#,5,2,2891.43,230.77,12,16,27004,"^DJT"
1634,#2003-10-23#,5,1,2799.99,-91.43994,6,8,27010,"^DJT"
1635,#2003-11-07#,5,2,3002.52,202.53,11,15,27021,"^DJT"
1636,#2003-11-21#,5,1,2837.42,-165.1001,10,14,27031,"^DJT"
1637,#2003-12-03#,5,2,2969.78,132.3601,7,12,27038,"^DJT"
1638,#2003-12-10#,5,1,2893.87,-75.90991,5,7,27043,"^DJT"
1639,#2004-01-22#,5,2,3090.07,196.2,28,43,27071,"^DJT"
1640,#2004-02-04#,5,1,2815.66,-274.4102,9,13,27080,"^DJT"
1641,#2004-02-12#,5,2,2960.52,144.8601,6,8,27086,"^DJT"
1642,#2004-02-24#,5,1,2836.48,-124.04,7,12,27093,"^DJT"
1643,#2004-03-02#,5,2,2923.86,87.38013,5,7,27098,"^DJT"
1644,#2004-03-24#,5,1,2743.46,-180.4001,16,22,27114,"^DJT"
1645,#2004-04-06#,5,2,2982.45,238.99,9,13,27123,"^DJT"
1646,#2004-04-14#,5,1,2881.5,-100.95,5,8,27128,"^DJT"
1647,#2004-04-26#,5,2,3020.81,139.3101,8,12,27136,"^DJT"
1648,#2004-05-17#,5,1,2785.5,-235.3101,15,21,27151,"^DJT"
1649,#2004-07-01#,5,2,3212.45,426.95,31,45,27182,"^DJT"
1650,#2004-07-09#,5,1,3058.39,-154.0601,5,8,27187,"^DJT"
1651,#2004-07-21#,5,2,3171.66,113.27,8,12,27195,"^DJT"
