"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
151,#1978-03-02#,5,2,209.26,18.12,17,24,2472,"^CAC"
152,#1978-03-09#,5,1,201.52,-7.73999,5,7,2477,"^CAC"
153,#1978-04-26#,5,2,268.89,67.37001,32,48,2509,"^CAC"
154,#1978-05-16#,5,1,256.26,-12.63,11,20,2520,"^CAC"
155,#1978-06-01#,5,2,274.29,18.03,12,16,2532,"^CAC"
156,#1978-06-28#,5,1,260.22,-14.07001,19,27,2551,"^CAC"
157,#1978-08-03#,5,2,300.13,39.91,25,36,2576,"^CAC"
158,#1978-08-21#,5,1,293.24,-6.890015,10,18,2586,"^CAC"
159,#1978-08-28#,5,2,297.75,4.51001,5,7,2591,"^CAC"
160,#1978-09-04#,5,1,288.65,-9.100006,5,7,2596,"^CAC"
161,#1978-10-02#,5,2,328.57,39.92001,20,28,2616,"^CAC"
162,#1978-11-08#,5,1,309.42,-19.14999,27,37,2643,"^CAC"
163,#1978-11-20#,5,2,312.65,3.22998,8,12,2651,"^CAC"
164,#1978-11-27#,5,1,305.02,-7.630005,5,7,2656,"^CAC"
165,#1978-12-08#,5,2,316.99,11.97,9,11,2665,"^CAC"
166,#1978-12-18#,5,1,302.25,-14.73999,6,10,2671,"^CAC"
167,#1978-12-26#,5,2,311.85,9.600006,5,8,2676,"^CAC"
168,#1979-01-03#,5,1,304.46,-7.390015,6,8,2682,"^CAC"
169,#1979-01-15#,5,2,320.01,15.55002,8,12,2690,"^CAC"
170,#1979-02-19#,5,1,290.08,-29.93002,25,35,2715,"^CAC"
171,#1979-05-02#,5,2,324.97,34.89001,24,72,2739,"^CAC"
172,#1979-05-15#,5,1,311.06,-13.91,9,13,2748,"^CAC"
173,#1979-06-28#,5,2,337.82,26.76001,30,44,2778,"^CAC"
174,#1979-07-06#,5,1,329.27,-8.550018,6,8,2784,"^CAC"
175,#1979-10-08#,5,2,400.7,71.43002,65,94,2849,"^CAC"
176,#1979-11-08#,5,1,343.62,-57.08002,22,31,2871,"^CAC"
177,#1979-11-27#,5,2,370.37,26.75,13,19,2884,"^CAC"
178,#1980-01-03#,5,1,342.19,-28.17999,23,37,2907,"^CAC"
179,#1980-02-21#,5,2,406.22,64.03,35,49,2942,"^CAC"
180,#1980-04-01#,5,1,358.16,-48.06,28,40,2970,"^CAC"
181,#1980-04-14#,5,2,371.34,13.17999,7,13,2977,"^CAC"
182,#1980-04-25#,5,1,363.55,-7.790009,9,11,2986,"^CAC"
183,#1980-05-27#,5,2,389.42,25.87003,19,32,3005,"^CAC"
184,#1980-06-04#,5,1,381.38,-8.040009,6,8,3011,"^CAC"
185,#1980-06-26#,5,2,389.58,8.199982,16,22,3027,"^CAC"
