"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
431,#1927-05-31#,5,2,172.96,14.34001,59,85,6779,"^DJI"
432,#1927-06-27#,5,1,165.73,-7.230011,18,27,6797,"^DJI"
433,#1927-08-02#,5,2,185.55,19.82001,25,36,6822,"^DJI"
434,#1927-08-12#,5,1,177.13,-8.419998,8,10,6830,"^DJI"
435,#1927-09-15#,5,2,198.97,21.84,23,34,6853,"^DJI"
436,#1927-10-24#,5,1,181.43,-17.54001,26,39,6879,"^DJI"
437,#1927-11-30#,5,2,198.21,16.78001,25,37,6904,"^DJI"
438,#1927-12-08#,5,1,193.58,-4.630005,6,8,6910,"^DJI"
439,#1927-12-20#,5,2,200.93,7.349991,8,12,6918,"^DJI"
440,#1928-01-18#,5,1,194.5,-6.429993,21,29,6939,"^DJI"
441,#1928-01-24#,5,2,201.01,6.509995,5,6,6944,"^DJI"
442,#1928-02-03#,5,1,196.3,-4.709991,9,10,6953,"^DJI"
443,#1928-02-09#,5,2,199.35,3.050003,5,6,6958,"^DJI"
444,#1928-02-20#,5,1,191.33,-8.020004,8,11,6966,"^DJI"
445,#1928-03-30#,5,2,214.45,23.12,33,39,6999,"^DJI"
446,#1928-04-23#,5,1,207.94,-6.509995,17,24,7016,"^DJI"
447,#1928-05-14#,5,2,220.88,12.94,16,21,7032,"^DJI"
448,#1928-05-22#,5,1,211.73,-9.150009,6,8,7038,"^DJI"
449,#1928-06-02#,5,2,220.96,9.230011,8,11,7046,"^DJI"
450,#1928-06-18#,5,1,201.96,-19,13,16,7059,"^DJI"
451,#1928-07-05#,5,2,214.43,12.46999,14,17,7073,"^DJI"
452,#1928-07-16#,5,1,205.1,-9.329987,9,11,7082,"^DJI"
453,#1928-08-07#,5,2,218.06,12.95999,19,22,7101,"^DJI"
454,#1928-08-14#,5,1,214.08,-3.979996,6,7,7107,"^DJI"
455,#1928-09-07#,5,2,241.72,27.64,20,24,7127,"^DJI"
456,#1928-10-03#,5,1,233.6,-8.119995,22,26,7149,"^DJI"
457,#1928-10-24#,5,2,260.4,26.79999,17,21,7166,"^DJI"
458,#1928-10-31#,5,1,248.8,-11.59999,6,7,7172,"^DJI"
459,#1928-11-28#,5,2,299.4,50.59999,22,28,7194,"^DJI"
460,#1928-12-10#,5,1,254.4,-45,9,12,7203,"^DJI"
461,#1929-02-05#,5,2,324.5,70.10001,47,57,7250,"^DJI"
462,#1929-02-18#,5,1,293.4,-31.10001,9,13,7259,"^DJI"
463,#1929-03-01#,5,2,324.4,31,8,11,7267,"^DJI"
464,#1929-03-26#,5,1,281.5,-42.89999,21,25,7288,"^DJI"
465,#1929-04-23#,5,2,320.1,38.60001,22,28,7310,"^DJI"
466,#1929-04-29#,5,1,309.6,-10.5,5,6,7315,"^DJI"
467,#1929-05-06#,5,2,331,21.39999,6,7,7321,"^DJI"
468,#1929-05-31#,5,1,290,-41,21,25,7342,"^DJI"
469,#1929-07-12#,5,2,350.3,60.29999,35,42,7377,"^DJI"
470,#1929-07-29#,5,1,336.4,-13.89999,14,17,7391,"^DJI"
471,#1929-09-03#,5,2,386.1,49.70001,29,36,7420,"^DJI"
472,#1929-09-13#,5,1,359.7,-26.39999,9,10,7429,"^DJI"
473,#1929-09-19#,5,2,375.2,15.5,5,6,7434,"^DJI"
474,#1929-10-04#,5,1,320.5,-54.70001,13,15,7447,"^DJI"
475,#1929-10-11#,5,2,358.8,38.29999,6,7,7453,"^DJI"
476,#1929-11-13#,5,1,195.4,-163.4,23,33,7476,"^DJI"
477,#1929-12-09#,5,2,267.6,72.20001,17,26,7493,"^DJI"
478,#1929-12-23#,5,1,226.4,-41.20001,12,14,7505,"^DJI"
479,#1930-02-13#,5,2,275,48.60001,42,52,7547,"^DJI"
480,#1930-02-25#,5,1,259.8,-15.20001,9,12,7556,"^DJI"
481,#1930-03-10#,5,2,279.4,19.60001,11,13,7567,"^DJI"
482,#1930-03-17#,5,1,268.9,-10.5,6,7,7573,"^DJI"
483,#1930-04-16#,5,2,297.3,28.39999,26,30,7599,"^DJI"
484,#1930-05-05#,5,1,249.8,-47.49998,14,19,7613,"^DJI"
485,#1930-05-14#,5,2,277.2,27.40001,8,9,7621,"^DJI"
486,#1930-05-20#,5,1,260.8,-16.40002,5,6,7626,"^DJI"
487,#1930-06-02#,5,2,276.9,16.10001,9,13,7635,"^DJI"
488,#1930-06-25#,5,1,207.7,-69.2,20,23,7655,"^DJI"
489,#1930-07-28#,5,2,243.7,36,26,33,7681,"^DJI"
490,#1930-08-13#,5,1,214.5,-29.2,14,16,7695,"^DJI"
491,#1930-09-10#,5,2,247.2,32.7,22,28,7717,"^DJI"
492,#1930-10-22#,5,1,181.5,-65.7,35,42,7752,"^DJI"
493,#1930-10-28#,5,2,198.6,17.10001,5,6,7757,"^DJI"
494,#1930-11-10#,5,1,168.3,-30.3,10,13,7767,"^DJI"
495,#1930-11-25#,5,2,191.3,23,14,15,7781,"^DJI"
496,#1930-12-17#,5,1,154.5,-36.8,20,22,7801,"^DJI"
497,#1931-01-09#,5,2,175.7,21.2,18,23,7819,"^DJI"
498,#1931-01-19#,5,1,160.1,-15.59999,8,10,7827,"^DJI"
499,#1931-02-24#,5,2,197,36.89999,29,36,7856,"^DJI"
500,#1931-03-13#,5,1,175.9,-21.10001,15,17,7871,"^DJI"
501,#1931-03-20#,5,2,189.3,13.40001,6,7,7877,"^DJI"
502,#1931-04-07#,5,1,166.1,-23.2,14,18,7891,"^DJI"
503,#1931-04-14#,5,2,173.2,7.099991,6,7,7897,"^DJI"
504,#1931-04-29#,5,1,141.8,-31.39999,13,15,7910,"^DJI"
505,#1931-05-09#,5,2,156.2,14.39999,9,10,7919,"^DJI"
506,#1931-06-02#,5,1,119.9,-36.3,19,24,7938,"^DJI"
507,#1931-06-09#,5,2,138.9,18.99999,6,7,7944,"^DJI"
508,#1931-06-19#,5,1,128.6,-10.29999,9,10,7953,"^DJI"
509,#1931-06-27#,5,2,157.9,29.29999,7,8,7960,"^DJI"
510,#1931-07-15#,5,1,134.4,-23.5,14,18,7974,"^DJI"
511,#1931-07-21#,5,2,147.7,13.3,5,6,7979,"^DJI"
512,#1931-08-06#,5,1,132.6,-15.09999,14,16,7993,"^DJI"
513,#1931-08-15#,5,2,146.4,13.79999,8,9,8001,"^DJI"
514,#1931-08-24#,5,1,135.6,-10.79999,7,9,8008,"^DJI"
515,#1931-08-29#,5,2,142.6,7,5,5,8013,"^DJI"
516,#1931-10-05#,5,1,85.5,-57.10001,29,37,8042,"^DJI"
517,#1931-11-09#,5,2,119.2,33.7,28,35,8070,"^DJI"
518,#1932-01-05#,5,1,69.9,-49.3,45,57,8115,"^DJI"
519,#1932-01-14#,5,2,87.8,17.9,8,9,8123,"^DJI"
520,#1932-02-10#,5,1,70.6,-17.2,23,27,8146,"^DJI"
521,#1932-03-09#,5,2,89.9,19.3,22,28,8168,"^DJI"
522,#1932-06-02#,5,1,43.5,-46.4,71,85,8239,"^DJI"
523,#1932-06-16#,5,2,51.4,7.900002,12,14,8251,"^DJI"
524,#1932-07-08#,5,1,40.6,-10.8,17,22,8268,"^DJI"
525,#1932-09-08#,5,2,81.4,40.8,52,62,8320,"^DJI"
526,#1932-09-15#,5,1,64.3,-17.1,6,7,8326,"^DJI"
527,#1932-09-22#,5,2,76,11.7,6,7,8332,"^DJI"
528,#1932-10-10#,5,1,57.7,-18.3,15,18,8347,"^DJI"
529,#1932-10-20#,5,2,66.1,8.399998,8,10,8355,"^DJI"
530,#1932-11-03#,5,1,57.2,-8.899998,12,14,8367,"^DJI"
531,#1932-11-12#,5,2,68.9,11.7,7,9,8374,"^DJI"
532,#1932-12-03#,5,1,55,-13.9,17,21,8391,"^DJI"
533,#1932-12-15#,5,2,62.9,7.900002,10,12,8401,"^DJI"
534,#1932-12-23#,5,1,56.1,-6.800003,7,8,8408,"^DJI"
535,#1933-01-11#,5,2,65.3,9.200005,13,19,8421,"^DJI"
536,#1933-01-18#,5,1,60.1,-5.200005,6,7,8427,"^DJI"
537,#1933-01-26#,5,2,62.8,2.700001,7,8,8434,"^DJI"
538,#1933-02-27#,5,1,49.7,-13.1,25,32,8459,"^DJI"
539,#1933-03-16#,5,2,64.6,14.9,6,17,8465,"^DJI"
540,#1933-03-31#,5,1,54.9,-9.699997,13,15,8478,"^DJI"
541,#1933-07-18#,5,2,110.5,55.6,90,109,8568,"^DJI"
542,#1933-10-21#,5,1,82.2,-28.3,74,95,8642,"^DJI"
543,#1933-11-21#,5,2,101.9,19.7,25,31,8667,"^DJI"
544,#1933-11-27#,5,1,95.3,-6.599998,5,6,8672,"^DJI"
545,#1933-12-11#,5,2,104,8.699997,11,14,8683,"^DJI"
546,#1933-12-20#,5,1,93.7,-10.3,8,9,8691,"^DJI"
547,#1934-01-02#,5,2,101.9,8.200005,9,13,8700,"^DJI"
548,#1934-01-08#,5,1,96.3,-5.599998,5,6,8705,"^DJI"
549,#1934-02-05#,5,2,111.9,15.6,24,28,8729,"^DJI"
550,#1934-03-27#,5,1,97.4,-14.5,41,50,8770,"^DJI"
551,#1934-04-20#,5,2,107,9.599998,20,24,8790,"^DJI"
552,#1934-05-14#,5,1,89.1,-17.9,20,24,8810,"^DJI"
553,#1934-06-19#,5,2,101.1,12,30,36,8840,"^DJI"
